date,country,group,ndb_mdb_local_currency_share_pct,digital_infra_share_pct,post_kazan_rio,tariff_exposure_index,treated,did
2015-01-01,Brazil,BRICS,0.0,0.0,0,0,1,0
2015-01-01,Russia,BRICS,0.0,0.0,0,0,1,0
2015-01-01,India,BRICS,0.0,0.0,0,0,1,0
2015-01-01,China,BRICS,0.0,0.0,0,0,1,0
2015-01-01,South Africa,BRICS,0.0,0.0,0,0,1,0
2015-01-01,Egypt,BRICS,0.0,0.0,0,0,1,0
2015-01-01,Ethiopia,BRICS,0.0,0.0,0,0,1,0
2015-01-01,Iran,BRICS,0.0,0.0,0,0,1,0
2015-01-01,UAE,BRICS,0.0,0.0,0,0,1,0
2015-01-01,Indonesia,BRICS,0.0,0.0,0,0,1,0
2015-01-01,Saudi Arabia,BRICS,0.0,0.0,0,0,1,0
2015-01-01,Belarus,Partner,0.0,0.0,0,0,1,0
2015-01-01,Bolivia,Partner,0.0,0.0,0,0,1,0
2015-01-01,Cuba,Partner,0.0,0.0,0,0,1,0
2015-01-01,Kazakhstan,Partner,0.0,0.0,0,0,1,0
2015-01-01,Malaysia,Partner,0.0,0.0,0,0,1,0
2015-01-01,Nigeria,Partner,0.0,0.0,0,0,1,0
2015-01-01,Thailand,Partner,0.0,0.0,0,0,1,0
2015-01-01,Uganda,Partner,0.0,0.0,0,0,1,0
2015-01-01,Uzbekistan,Partner,0.0,0.0,0,0,1,0
2015-01-01,Vietnam,Partner,0.0,0.0,0,0,1,0
2015-01-01,Mexico,MINT,12.1,17.3,0,0,0,0
2015-01-01,Indonesia,BRICS,0.0,0.0,0,0,1,0
2015-01-01,Nigeria,Partner,0.0,0.0,0,0,1,0
2015-01-01,Türkiye,MINT,12.1,17.3,0,0,0,0
2015-02-01,Brazil,BRICS,0.0,0.0,0,0,1,0
2015-02-01,Russia,BRICS,0.0,0.0,0,0,1,0
2015-02-01,India,BRICS,0.0,0.0,0,0,1,0
2015-02-01,China,BRICS,0.0,0.0,0,0,1,0
2015-02-01,South Africa,BRICS,0.0,0.0,0,0,1,0
2015-02-01,Egypt,BRICS,0.0,0.0,0,0,1,0
2015-02-01,Ethiopia,BRICS,0.0,0.0,0,0,1,0
2015-02-01,Iran,BRICS,0.0,0.0,0,0,1,0
2015-02-01,UAE,BRICS,0.0,0.0,0,0,1,0
2015-02-01,Indonesia,BRICS,0.0,0.0,0,0,1,0
2015-02-01,Saudi Arabia,BRICS,0.0,0.0,0,0,1,0
2015-02-01,Belarus,Partner,0.0,0.0,0,0,1,0
2015-02-01,Bolivia,Partner,0.0,0.0,0,0,1,0
2015-02-01,Cuba,Partner,0.0,0.0,0,0,1,0
2015-02-01,Kazakhstan,Partner,0.0,0.0,0,0,1,0
2015-02-01,Malaysia,Partner,0.0,0.0,0,0,1,0
2015-02-01,Nigeria,Partner,0.0,0.0,0,0,1,0
2015-02-01,Thailand,Partner,0.0,0.0,0,0,1,0
2015-02-01,Uganda,Partner,0.0,0.0,0,0,1,0
2015-02-01,Uzbekistan,Partner,0.0,0.0,0,0,1,0
2015-02-01,Vietnam,Partner,0.0,0.0,0,0,1,0
2015-02-01,Mexico,MINT,12.1,17.3,0,0,0,0
2015-02-01,Indonesia,BRICS,0.0,0.0,0,0,1,0
2015-02-01,Nigeria,Partner,0.0,0.0,0,0,1,0
2015-02-01,Türkiye,MINT,12.1,17.3,0,0,0,0
2015-03-01,Brazil,BRICS,0.0,0.0,0,0,1,0
2015-03-01,Russia,BRICS,0.0,0.0,0,0,1,0
2015-03-01,India,BRICS,0.0,0.0,0,0,1,0
2015-03-01,China,BRICS,0.0,0.0,0,0,1,0
2015-03-01,South Africa,BRICS,0.0,0.0,0,0,1,0
2015-03-01,Egypt,BRICS,0.0,0.0,0,0,1,0
2015-03-01,Ethiopia,BRICS,0.0,0.0,0,0,1,0
2015-03-01,Iran,BRICS,0.0,0.0,0,0,1,0
2015-03-01,UAE,BRICS,0.0,0.0,0,0,1,0
2015-03-01,Indonesia,BRICS,0.0,0.0,0,0,1,0
2015-03-01,Saudi Arabia,BRICS,0.0,0.0,0,0,1,0
2015-03-01,Belarus,Partner,0.0,0.0,0,0,1,0
2015-03-01,Bolivia,Partner,0.0,0.0,0,0,1,0
2015-03-01,Cuba,Partner,0.0,0.0,0,0,1,0
2015-03-01,Kazakhstan,Partner,0.0,0.0,0,0,1,0
2015-03-01,Malaysia,Partner,0.0,0.0,0,0,1,0
2015-03-01,Nigeria,Partner,0.0,0.0,0,0,1,0
2015-03-01,Thailand,Partner,0.0,0.0,0,0,1,0
2015-03-01,Uganda,Partner,0.0,0.0,0,0,1,0
2015-03-01,Uzbekistan,Partner,0.0,0.0,0,0,1,0
2015-03-01,Vietnam,Partner,0.0,0.0,0,0,1,0
2015-03-01,Mexico,MINT,12.1,17.3,0,0,0,0
2015-03-01,Indonesia,BRICS,0.0,0.0,0,0,1,0
2015-03-01,Nigeria,Partner,0.0,0.0,0,0,1,0
2015-03-01,Türkiye,MINT,12.1,17.3,0,0,0,0
2015-04-01,Brazil,BRICS,0.0,0.0,0,0,1,0
2015-04-01,Russia,BRICS,0.0,0.0,0,0,1,0
2015-04-01,India,BRICS,0.0,0.0,0,0,1,0
2015-04-01,China,BRICS,0.0,0.0,0,0,1,0
2015-04-01,South Africa,BRICS,0.0,0.0,0,0,1,0
2015-04-01,Egypt,BRICS,0.0,0.0,0,0,1,0
2015-04-01,Ethiopia,BRICS,0.0,0.0,0,0,1,0
2015-04-01,Iran,BRICS,0.0,0.0,0,0,1,0
2015-04-01,UAE,BRICS,0.0,0.0,0,0,1,0
2015-04-01,Indonesia,BRICS,0.0,0.0,0,0,1,0
2015-04-01,Saudi Arabia,BRICS,0.0,0.0,0,0,1,0
2015-04-01,Belarus,Partner,0.0,0.0,0,0,1,0
2015-04-01,Bolivia,Partner,0.0,0.0,0,0,1,0
2015-04-01,Cuba,Partner,0.0,0.0,0,0,1,0
2015-04-01,Kazakhstan,Partner,0.0,0.0,0,0,1,0
2015-04-01,Malaysia,Partner,0.0,0.0,0,0,1,0
2015-04-01,Nigeria,Partner,0.0,0.0,0,0,1,0
2015-04-01,Thailand,Partner,0.0,0.0,0,0,1,0
2015-04-01,Uganda,Partner,0.0,0.0,0,0,1,0
2015-04-01,Uzbekistan,Partner,0.0,0.0,0,0,1,0
2015-04-01,Vietnam,Partner,0.0,0.0,0,0,1,0
2015-04-01,Mexico,MINT,12.1,17.3,0,0,0,0
2015-04-01,Indonesia,BRICS,0.0,0.0,0,0,1,0
2015-04-01,Nigeria,Partner,0.0,0.0,0,0,1,0
2015-04-01,Türkiye,MINT,12.1,17.3,0,0,0,0
2015-05-01,Brazil,BRICS,0.0,0.0,0,0,1,0
2015-05-01,Russia,BRICS,0.0,0.0,0,0,1,0
2015-05-01,India,BRICS,0.0,0.0,0,0,1,0
2015-05-01,China,BRICS,0.0,0.0,0,0,1,0
2015-05-01,South Africa,BRICS,0.0,0.0,0,0,1,0
2015-05-01,Egypt,BRICS,0.0,0.0,0,0,1,0
2015-05-01,Ethiopia,BRICS,0.0,0.0,0,0,1,0
2015-05-01,Iran,BRICS,0.0,0.0,0,0,1,0
2015-05-01,UAE,BRICS,0.0,0.0,0,0,1,0
2015-05-01,Indonesia,BRICS,0.0,0.0,0,0,1,0
2015-05-01,Saudi Arabia,BRICS,0.0,0.0,0,0,1,0
2015-05-01,Belarus,Partner,0.0,0.0,0,0,1,0
2015-05-01,Bolivia,Partner,0.0,0.0,0,0,1,0
2015-05-01,Cuba,Partner,0.0,0.0,0,0,1,0
2015-05-01,Kazakhstan,Partner,0.0,0.0,0,0,1,0
2015-05-01,Malaysia,Partner,0.0,0.0,0,0,1,0
2015-05-01,Nigeria,Partner,0.0,0.0,0,0,1,0
2015-05-01,Thailand,Partner,0.0,0.0,0,0,1,0
2015-05-01,Uganda,Partner,0.0,0.0,0,0,1,0
2015-05-01,Uzbekistan,Partner,0.0,0.0,0,0,1,0
2015-05-01,Vietnam,Partner,0.0,0.0,0,0,1,0
2015-05-01,Mexico,MINT,12.1,17.3,0,0,0,0
2015-05-01,Indonesia,BRICS,0.0,0.0,0,0,1,0
2015-05-01,Nigeria,Partner,0.0,0.0,0,0,1,0
2015-05-01,Türkiye,MINT,12.1,17.3,0,0,0,0
2015-06-01,Brazil,BRICS,0.0,0.0,0,0,1,0
2015-06-01,Russia,BRICS,0.0,0.0,0,0,1,0
2015-06-01,India,BRICS,0.0,0.0,0,0,1,0
2015-06-01,China,BRICS,0.0,0.0,0,0,1,0
2015-06-01,South Africa,BRICS,0.0,0.0,0,0,1,0
2015-06-01,Egypt,BRICS,0.0,0.0,0,0,1,0
2015-06-01,Ethiopia,BRICS,0.0,0.0,0,0,1,0
